Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
0,Stability Ball Dead Bug,Beginner,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
1,Bodyweight Glute Bridge,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
2,Bodyweight Bird Dog,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
3,Stability Ball Russian Twist ,Beginner,Abdominals,Obliques,Stability Ball,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
4,Stability Ball Feet Elevated Crunch ,Beginner,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
5,Ring Hanging Knee Raise ,Intermediate,Abdominals,Rectus Abdominis,Gymnastic Rings,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
6,Parallette Mountain Climber,Novice,Abdominals,Rectus Abdominis,Parallette Bars,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
7,Parallette Push Up,Novice,Chest,Pectoralis Major,Parallette Bars,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Calisthenics
8,Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
9,Stability Ball V Up Pass,Novice,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
10,Bodyweight Dead Bug,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
11,Bodyweight Alternating Heel Taps,Beginner,Abdominals,Obliques,Bodyweight,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
12,Bodyweight Flutter Kicks,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
13,Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
